pathway	pval	padj	log2err	ES	NES	size	leadingEdge
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	0.00198366085057931	0.0255595871506647	0.431707695803346	0.658133194906377	1.87608228388719	17	PDK2/PDK1/ACLY/DIP2A/MLYCD/ACSS1/DLAT/DLD/PDHB/PDHA1
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS_FROM_PYRUVATE	0.00228841442339533	0.0276370049594666	0.431707695803346	0.76589352017333	1.84607974172591	10	PDK2/PDK1/DLAT/DLD/PDHB/PDHA1
GOBP_ACETYL_COA_METABOLIC_PROCESS	0.000159617901672142	0.0047369532160873	0.518848077743792	0.630709305755782	2.03851615916666	29	AASS/ACACA/PDK2/PDK1/DLST/ACLY/DIP2A/ACACB/MLYCD/ACSS1/DLAT/HMGCS1/DLD/PDHB/PDHA1
GOBP_ACUTE_INFLAMMATORY_RESPONSE	0.00156791694639956	0.0217408882567711	0.45505986738723	-0.417228708385682	-1.64577430229052	86	GSTP1/HFE/FCGR2B/CD163/EIF2AK1/FCER1A/PLA2G2D/NLRP3/PARK7/DNASE1/BTK/RHBDD3/VNN1/TNFRSF11A/SAA2/PTGES/LIPA/IL20RB/SAA1/ALOX5AP/SCN11A/SIGIRR/PRCP/TFRC/HLA-E/NPY5R/DNASE1L3/LBP/ZP3/EXT1
GOBP_ADAPTIVE_IMMUNE_RESPONSE	0.000566047748240097	0.0108858680773174	0.477270815362862	-0.293434898514277	-1.42582997320663	475	CLU/IGLV7-43/C1QC/HLA-DPB1/C1QA/HAVCR2/HLA-DRA/C1QB/HFE/FCGR2B/CD86/IL18/HLA-DQB1/HLA-DQA1/ALCAM/CD1E/HLA-DRB1/FCER1G/HLA-DPA1/CLEC10A/HRAS/CD74/AKIRIN2/LILRB4/PYCARD/IL4I1/ANXA1/LAMP3/CD1C/CCL19/FCER1A/C1S/HLA-DRB5/ERCC1/FOXJ1/CD4/HLA-DMB/TMEM98/P2RX7/CD209/NLRP3/CD84/NCKAP1L/B2M/C2/EBI3/HLA-DQA2/LILRB5/LOXL3/BTK/CTSH/FADD/TNFRSF11A/CTSS/HLA-DMA/ASCL2/TREM2/FCER2/C1RL/GPR183/MAD2L2/MYD88/IL20RB/NDFIP1/ULBP3/CD46/SAMSN1/SYK/CD70/HPRT1/TRGV9/CLEC4G/IL12A/LIG4/IL1RL1/TFRC/ZNF683/HLA-E/SLAMF7/MR1/CTNNBL1/LAIR1/RIPK2/HLA-DOA/HLA-A/PDCD1LG2/JAM3/LILRB1/C1R/CD3D/ZP3
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	0.00343900081914266	0.036624982465574	0.431707695803346	-0.308252623476575	-1.43253380453271	297	CLU/C1QC/C1QA/HAVCR2/HLA-DRA/C1QB/HFE/FCGR2B/IL18/CD1E/HLA-DRB1/FCER1G/HRAS/CD74/LILRB4/IL4I1/ANXA1/CD1C/CCL19/FCER1A/C1S/ERCC1/FOXJ1/CD4/TMEM98/P2RX7/NLRP3/NCKAP1L/B2M/C2/EBI3/LOXL3/BTK/CTSH/FADD/ASCL2/TREM2/FCER2/C1RL/MAD2L2/MYD88/IL20RB/NDFIP1/ULBP3/CD46/CD70/HPRT1/CLEC4G/IL12A/LIG4/IL1RL1/TFRC/HLA-E
GOBP_ADAPTIVE_THERMOGENESIS	2.04256574228475e-06	0.000198823349353998	0.627256739718528	0.426717789198957	1.89891955238579	154	LPIN1/THRA/ADIPOQ/HADH/VEGFA/SORL1/GJA1/MAP2K6/OGT/CKB/PLCL2/DOCK7/RB1/ZNF516/ARRDC3/HNRNPU/ELOVL6/HSF1/ALMS1/FABP5/GADD45G/PLAC8/ALPL/KSR2/TSHR/PLCL1/GRB10/EHMT1/FFAR4/LGR4/PER2/ZBTB7B/PDGFC/DYNC1H1/PPARGC1B/EBF2/ADIPOR1/CIDEA/FABP4/SLC25A4/SCD/NOTCH1/PRLR/ELOVL3/PRKAB2/CPT2/KDM1A/IGF1R/JAK2/TLR4/KDM6B/NOVA2/PPARGC1A/LEPR
GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	0.00517546841435111	0.0477969730031249	0.407017918923954	0.356002093359565	1.52695871270901	117	CALCRL/ADGRL2/ADGRE3/RAPGEF2/ADCY3/ADCY9/ARRDC3/PRKCA/S1PR4/ADGRG1/ADGRG3/PLN/PRKAR1A/TSHR/GIPR/ADGRE2/LGR4/ADCY5/GNAQ/GPR157/ADGRF1/ABCA1/RAMP1/ADGRG2/GPR62/ADCY4/ADGRE1/GNA13/AKAP13/ADGRB2/CRTC3/S1PR1/ADORA2A/ADGRF5/ADGRD1/GSK3A
GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	0.00159393728774231	0.0219075709334983	0.45505986738723	0.325382650613937	1.48750529053851	185	CALCRL/RGS2/FPR1/FPR2/ADGRL2/ADGRE3/RAPGEF2/ADCY3/AKAP12/ADCYAP1R1/ADCY9/PRKACB/ARRDC3/PRKCA/S1PR4/PRMT5/ADGRG1/ADGRG3/PLN/PRKAR1A/TSHR/GIPR/ADGRE2/LGR4/ITGB3/ADCY5/GNAQ/CCR3/ADORA1/EDN1/GPR157/ADGRF1/ABCA1/GNA11/RAMP1/ADGRG2/WASF2/GPR62/ADCY4/AKAP5/ADGRE1/GNA13/AKAP13/ADGRB2/CRTC3/S1PR1/ADORA2A/ADGRF5/ADGRD1/GSK3A
GOBP_ADIPOSE_TISSUE_DEVELOPMENT	1.86485161016562e-05	0.0010453214722754	0.575610261071129	0.570773935288922	2.09078365910053	49	NAMPT/NCOA2/NCOA1/SORL1/ABHD15/VPS13B/LPL/PPARG/SLC25A25/AMER1/RORC/ZNF516/ARRDC3/XBP1/PIK3CA/PARP1/EBF2/LRP5/PUM2/KLF7/SIRT1
GOBP_ALDITOL_PHOSPHATE_METABOLIC_PROCESS	0.00238345301456354	0.0283625081219578	0.431707695803346	0.732936806201437	1.82594887645901	11	GPAT3/GPD2/GPD1L/GK/ACP6
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION	1.88080159529557e-05	0.0010453214722754	0.575610261071129	0.307713102321775	1.53645191431513	395	ACVR1C/AMOTL1/PTEN/VSTM4/ROBO1/FGF10/SEMA4B/PKN2/MAPK14/VEGFA/BRAF/AGO2/GLUL/PLPP3/GJA1/MESP1/MECP2/AGT/S100A9/SEMA4G/LRG1/EPB41L5/APPL1/SGPL1/PPARG/PLCG1/SP1/PTGS2/CLASP2/AKAP12/PDPK1/EFNB1/VHL/SEMA4D/PTPRG/HDAC5/SEMA4F/ZFAND5/AAMP/CAPN7/CENPV/PRKCA/NR4A1/ITGB7/EPB41L4B/PIK3CA/NF1/SEMA4C/SMOC2/FLT4/RREB1/BMPR2/RHOB/PATZ1/FGF7/ITGB3/ARHGAP5/MET/CYGB/CLASP1/ROCK1/DOCK5/PIK3CD/SEMA4A/KLF4/ADAMTS9/HIF1A/TMEM201/MAP3K3/ZEB2/EDN1/PTK2/SEMA3F/HDAC9/ADIPOR1/ITGA4/LRP5/IQSEC1/RET/PKN1/PLEC/EPHB4/SIRT1/CORO1A/SRF/MCC/KRIT1/PIK3CB/CORO1B/PPM1F/NOTCH1/PTP4A3/MIA3/TWIST1/PRKD2/WASF2/FER
GOBP_AMINOGLYCAN_CATABOLIC_PROCESS	0.000824009945980043	0.0138291600244306	0.477270815362862	-0.618035734575971	-1.85327253794889	25	HEXA/GLB1/HEXB/CD44/GNS/FUCA1/CHI3L2/HMMR/CHI3L1/IDUA/LYVE1/OVGP1/SGSH
GOBP_AMINOGLYCAN_METABOLIC_PROCESS	0.00186353916431226	0.0243159386399672	0.45505986738723	-0.394655209904617	-1.60378876295851	103	ITIH5/HEXA/GLB1/HEXB/CD44/GNS/FUCA1/B3GNT7/PXYLP1/HS3ST2/ANGPT1/B3GNT2/GCNT2/TNFAIP6/CHI3L2/CHST7/B4GAT1/HMMR/CHST12/CHI3L1/CHPF2/HAS3/B4GALT4/EXT1/IDUA/CHST5/UGDH/LYVE1/OVGP1/CSGALNACT2/SGSH
GOBP_AMINO_ACID_METABOLIC_PROCESS	0.00118283011515427	0.0180096846415837	0.45505986738723	0.319401338506017	1.50199438122773	227	AASS/GFPT1/BCAT2/TTC36/ALDH6A1/MTHFD1/NAT8L/GLUL/DBT/MECP2/BCKDHA/DLST/DPYD/GCDH/PCCA/ETFA/HAAO/MTR/GPT2/CPS1/BCKDHB/SLC38A1/CTH/MCCC1/PRODH/MTHFR/IVD/HAL/AZIN1/PCBD1/ARG2/PCCB/FPGS/MCCC2/ABAT/GMPS/IARS2/AARS2/CSAD/AUH/KYAT1/BCKDK/NOS2/BPHL/HIBADH/ACADSB/APIP/MARS2/DALRD3/GPT/GART/ATP7A/GATB/PYCR1/YARS2/WARS2/DLD/TARS2/HSD17B10/ECHS1/ASS1/PFAS/SHMT1/AGMAT/PSPH/GOT1/DARS2/CTPS2/NARS2/FN3K/ACAD8/ATP2B4
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION	2.44317890304939e-12	2.37819034422828e-09	0.898671232061694	-0.602610532156771	-2.44840838362304	106	HLA-DPB1/HLA-DRA/IFI30/HFE/FCGR2B/HLA-DQB1/HLA-DQA1/CD1E/HLA-DRB1/FCER1G/HLA-DPA1/CD74/RAB32/PYCARD/CD1C/CCL19/HLA-DRB5/HLA-DMB/CD209/B2M/HLA-DQA2/LGMN/CTSH/CTSS/IDE/HLA-DMA/IKBKB/TREM2/FCER2/TAPBPL/THBS1/PDIA3/ULBP3/CTSD/CCL21/RAB4A/CD68/HLA-E/MR1/HLA-DOA/CTSV/HLA-A/RAB33A/EXT1/ERAP2/AP3B1/CLEC4A/WDFY4/RELB/LILRB2/PSME1/CALR/ATG5/TREX1/HLA-B/SAR1B
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_ANTIGEN	0.000138690244354169	0.0042721861979224	0.518848077743792	-0.642116465588319	-2.00139985325587	29	HLA-DRA/HFE/CD1E/HLA-DRB1/CD74/CD1C/B2M/IDE/ULBP3/HLA-E/HLA-A/ERAP2
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_PEPTIDE_ANTIGEN	0.00203834903282296	0.0258350123509098	0.431707695803346	-0.599847973342511	-1.77895277106427	24	HLA-DRA/HFE/HLA-DRB1/B2M/IDE/ULBP3/HLA-E/HLA-A/ERAP2
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN	2.59555729682298e-11	9.71736720279802e-09	0.863415391606693	-0.743541901216184	-2.54737058261167	44	HLA-DPB1/HLA-DRA/IFI30/FCGR2B/HLA-DQB1/HLA-DQA1/CD1E/HLA-DRB1/FCER1G/HLA-DPA1/CD74/CD1C/HLA-DRB5/HLA-DMB/B2M/HLA-DQA2/LGMN/CTSS/HLA-DMA/IKBKB/CTSD/HLA-E/MR1/HLA-DOA/CTSV/HLA-A
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN	2.35730317317167e-11	9.71736720279802e-09	0.863415391606693	-0.773966073988443	-2.53505567059277	37	HLA-DPB1/HLA-DRA/IFI30/FCGR2B/HLA-DQB1/HLA-DQA1/HLA-DRB1/FCER1G/HLA-DPA1/CD74/HLA-DRB5/HLA-DMB/B2M/HLA-DQA2/LGMN/CTSS/HLA-DMA/IKBKB/CTSD/HLA-E/HLA-DOA/CTSV/HLA-A
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II	1.27910495683834e-10	4.15026921662147e-08	0.826657301178302	-0.815289412138035	-2.51745241797616	28	HLA-DPB1/HLA-DRA/IFI30/FCGR2B/HLA-DQB1/HLA-DQA1/HLA-DRB1/FCER1G/HLA-DPA1/CD74/HLA-DRB5/HLA-DMB/B2M/HLA-DQA2/LGMN/CTSS/HLA-DMA
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN	4.06611607887302e-12	2.82711242226785e-09	0.887074988399873	-0.680920737603296	-2.55757633338592	65	HLA-DPB1/HLA-DRA/IFI30/HFE/FCGR2B/HLA-DQB1/HLA-DQA1/HLA-DRB1/FCER1G/HLA-DPA1/CD74/PYCARD/HLA-DRB5/HLA-DMB/CD209/B2M/HLA-DQA2/LGMN/CTSS/IDE/HLA-DMA/IKBKB/TREM2/TAPBPL/PDIA3/ULBP3/CTSD/HLA-E/MR1/HLA-DOA/CTSV/HLA-A
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I	0.000153454339300369	0.00461904315358391	0.518848077743792	-0.594746026746452	-1.94059689484359	36	IFI30/HFE/FCER1G/B2M/IDE/IKBKB/TAPBPL/PDIA3/ULBP3/HLA-E/MR1/HLA-A/ERAP2/CLEC4A/CALR/HLA-B/SAR1B
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II	5.38515925351534e-12	3.27619626085739e-09	0.887074988399873	-0.814970338831683	-2.6074292516585	32	HLA-DPB1/HLA-DRA/IFI30/FCGR2B/HLA-DQB1/HLA-DQA1/HLA-DRB1/FCER1G/HLA-DPA1/CD74/PYCARD/HLA-DRB5/HLA-DMB/B2M/HLA-DQA2/LGMN/CTSS/HLA-DMA/TREM2/THBS1
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTRASPECIES_INTERACTION_BETWEEN_ORGANISMS	0.0044197344875417	0.0431079113243796	0.407017918923954	0.459129941832841	1.64435281462673	43	PTEN/MECP2/CHD8/CIC/PCM1/NLGN4X/DVL1/ATXN1L/EIF4EBP2/SLC6A4/ATXN1/SHANK3/UCN/GRID1/SHANK2/MAPK8IP2/RPTOR/CX3CR1
GOBP_BRANCHED_CHAIN_AMINO_ACID_CATABOLIC_PROCESS	7.30425252255079e-06	0.000579630325351704	0.610526878385931	0.741751267205711	2.23243387813099	21	BCAT2/ALDH6A1/DBT/BCKDHA/BCKDHB/MCCC1/IVD/MCCC2/AUH/BCKDK/HIBADH/ACADSB/DLD/HSD17B10/ECHS1
GOBP_BRANCHED_CHAIN_AMINO_ACID_METABOLIC_PROCESS	0.00356714355243256	0.0374054092212265	0.431707695803346	0.565446694680152	1.77790769840851	27	BCAT2/ALDH6A1/DBT/BCKDHA/PCCA/BCKDHB/MCCC1/IVD/PCCB/MCCC2/AUH/BCKDK/HIBADH/ACADSB/DLD/HSD17B10/ECHS1
GOBP_BRANCHING_MORPHOGENESIS_OF_AN_EPITHELIAL_TUBE	0.000234655721822916	0.00594827811516736	0.518848077743792	0.381686140109873	1.66029599261072	135	ESR1/SPRY2/FGF10/VEGFA/AGT/MYC/SIX4/PKD1/EYA1/SPRY1/PAK1/DLG5/RDH10/GLI3/LGR4/PPP3R1/NFATC4/MET/RBM15/LEF1/EDN1/LRP5/TCF21/PTCH1/GREB1L/SRF/BCL2/NOTCH1/PHB2/AREG/VDR/RASIP1/NPNT/STK4/ADAMTS16/GNA13/MSX2/SIX1/SFRP2/ABL1/COL4A1
GOBP_BROWN_FAT_CELL_DIFFERENTIATION	0.000361193304101603	0.00791859374352477	0.49849310876659	0.516403854786932	1.89162236453301	49	RGS2/SLC2A4/ALDH6A1/SLC7A10/ADIPOQ/MAPK14/LRG1/PTGS2/ZNF516/HNRNPU/PLAC8/RREB1/FFAR4/ZBTB7B/EBF2/FABP4/SIRT1
